,Manufacturer and Model,Top speed,Acceleration,Charging time,Nominal range,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,sale total
1,Audi eTron,"200, km/h (124, mph)",5.7 s,"8.5 hours, DC Charging 150 KW 80% in 30 min","328, km (204, mi) (EPA),, 433, km (269, mi) (WLTP)",556.0,719.0,436.0,209.0,464.0,488.0,805.0,716.0,775.0,686.0,564.0,784.0,14404.0
2,BMW i3,"150, km/h (93, mph)",8 s,"4h - 6h with the 240 V charging unit or 30 , 40 minutes at public DC charging stations (when charging from 0 to 80%)","246, km (153, mi)[3], MY 2019 (120 A,·h) (EPA), 183, km (114, mi)[4], MY 2017/18 (94 A,·h) (EPA)",21.0,27.0,16.0,34.0,75.0,79.0,216.0,191.0,203.0,216.0,177.0,247.0,3004.0
11,Ford Mustang Mach E,Electra Meccanica,SOLO,"129, km/h (80, mph)",10 s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0
13,Hyundai Ioniq,"165, km/h (103, mph)[8]",9.9 s[8],Domestic socket (220 V / 12 A): 16 h,"311, km (193, mi) (WLTP)[8]",1278.0,1481.0,763.0,422.0,626.0,868.0,1826.0,879.0,1096.0,1202.0,1090.0,2039.0,27140.0
51,Tesla Model S,"250, km/h (160, mph)[39]",3.8 s[40],8 hours with home charging; 50% in ~20 minutes from a Tesla Supercharger[41],"610, km (379, mi) (WLTP)[40]",1900.0,1700.0,1000.0,576.0,1280.0,1344.0,2630.0,2338.0,2532.0,0.0,0.0,0.0,30600.0
52,Tesla Model S,"261, km/h (162, mph)[39]",2.5 s[40],8 hours with home charging; 50% in ~20 minutes from a Tesla Supercharger[41],"593, km (368, mi) (WLTP)[40]",1900.0,1700.0,1000.0,576.0,1280.0,1344.0,2630.0,2338.0,2532.0,0.0,0.0,0.0,30600.0
53,Tesla Model X,"250, km/h (160, mph)[43]",4.6 s[44],8 hours with home charging; 50% in ~20 minutes from a Tesla Supercharger[41],"507, km (315, mi) (WLTP)[44]",1450.0,1250.0,1000.0,648.0,1440.0,1512.0,2735.0,2431.0,2634.0,0.0,0.0,0.0,30200.0
54,Tesla Model X,"250, km/h (160, mph)[43]",2.8 s[44],8 hours with home charging; 50% in ~20 minutes from a Tesla Supercharger[41],"487, km (303, mi) (WLTP)[44]",1450.0,1250.0,1000.0,648.0,1440.0,1512.0,2735.0,2431.0,2634.0,0.0,0.0,0.0,30200.0
55,Tesla Model 3,"233, km/h (145, mph)[47]",4.6 s[48],"7.3h for 100%, ~14% per hour with home charger, 50% in ~30 minutes from a Tesla Supercharger","560, km (348, mi) (WLTP)[48]",19000.0,17500.0,8000.0,5400.0,12000.0,12600.0,31208.0,27740.0,30052.0,0.0,0.0,0.0,327000.0
56,Tesla Model 3,"261, km/h (162, mph)[47]",3.4 s[48],"7.3h for 100%, ~14% per hour with home charger, 50% in ~30 minutes from a Tesla Supercharger","530, km (329, mi) (WLTP)[48]",19000.0,17500.0,8000.0,5400.0,12000.0,12600.0,31208.0,27740.0,30052.0,0.0,0.0,0.0,327000.0
57,Tesla Model 3,"225, km/h (140, mph)[47]",5.6 s[48],"7.3h for 100%, ~14% per hour with home charger, 50% in ~30 minutes from a Tesla Supercharger","409, km (254, mi) (WLTP)[48]",19000.0,17500.0,8000.0,5400.0,12000.0,12600.0,31208.0,27740.0,30052.0,0.0,0.0,0.0,327000.0
58,Tesla Model Y,"217, km/h (135, mph)[50]",5.1 s[50],"7.3h for 100%, ~14% per hour with home charger, 50% in ~30 minutes from a Tesla Supercharger","505, km (314, mi) (WLTP)[50]",0.0,0.0,0.0,0.0,0.0,0.0,12273.0,10909.0,11818.0,0.0,0.0,0.0,70000.0
59,Tesla Model Y,"241, km/h (150, mph)[50]",3.7 s[50],"7.3h for 100%, ~14% per hour with home charger, 50% in ~30 minutes from a Tesla Supercharger","480, km (298, mi) (WLTP)[50]",0.0,0.0,0.0,0.0,0.0,0.0,12273.0,10909.0,11818.0,0.0,0.0,0.0,70000.0
