,Model,Types,List Pricing,Max Mileage,MPG,kWh/100 mi,Max Gallons,Max EV kWh,Full Gasoline Price,Yearly_Gas_Price_Cali,Yearly_EV_Price_Cali
0,Audi eTron,Electric,"$77,400",204,0.0,46.0,0.0,93.84,0.0,0.0,1215.8023100000003
1,BMW i3,Electric,"$44,450",153,0.0,30.0,0.0,45.9,0.0,0.0,792.91455
2,Chevrolet Bolt,Electric,"$36,620",238,0.0,29.0,0.0,69.02000000000001,0.0,0.0,766.4840650000001
3,Chevrolet Silverado,Gasoline,"$48,485",450,20.0,0.0,22.5,0.0,74.025,2374.5575,0.0
4,Ford F-Series,Diesel,"$28,745",500,22.0,0.0,22.727272727272727,0.0,74.77272727272727,2158.6886363636363,0.0
5,GMC Sierra,Regular,"$44,000",440,17.0,0.0,25.88235294117647,0.0,85.15294117647059,2793.5970588235296,0.0
6,Honda Civic,Regular,"$20,000",430,37.0,0.0,11.621621621621621,0.0,38.23513513513513,1283.5445945945944,0.0
7,Honda CR-V,Regular,"$25,150",406,31.0,0.0,13.096774193548388,0.0,43.0883870967742,1531.9725806451615,0.0
8,Hyundai Kona,Electric,"$37,190",258,0.0,27.0,0.0,69.66,0.0,0.0,713.623095
9,Hyundai Ioniq,Electric,"$33,045",193,0.0,25.0,0.0,48.25,0.0,0.0,660.7621250000001
10,Nissan Leaf,Electric,"$31,600",157,0.0,30.0,0.0,47.1,0.0,0.0,792.91455
11,Ram Pickup,Regular,"$32,154",560,22.0,0.0,25.454545454545453,0.0,83.74545454545454,2158.6886363636363,0.0
12,Tesla Model 3,Electric,"$37,990",348,0.0,26.0,0.0,90.48,0.0,0.0,687.1926100000001
13,Tesla Model S,Electric,"$74,990",379,0.0,30.0,0.0,113.69999999999999,0.0,0.0,792.91455
14,Tesla Model X,Electric,"$79,990",315,0.0,35.0,0.0,110.25,0.0,0.0,925.066975
15,Tesla Model Y,Electric,"$49,900",314,0.0,28.0,0.0,87.92,0.0,0.0,740.05358
16,Toyota Camry,Regular,"$24,970",686,33.0,0.0,20.78787878787879,0.0,68.39212121212121,1439.1257575757577,0.0
17,Toyota Corolla,Regular,"$19,600",488,35.0,0.0,13.942857142857143,0.0,45.872,1356.89,0.0
18,Toyota RAV4,Regular,"$25,950",400,30.0,0.0,13.333333333333334,0.0,43.86666666666667,1583.0383333333332,0.0
19,Toyota Tacoma,Regular,"$26,050",380,20.0,0.0,19.0,0.0,62.51,2374.5575,0.0
